Field-ID,continous,corresponding-column,use-2-Label
31,0,,1
12144,1,,1
20015,1,,1
21002,1,,1
21001,1,,1
2306,0,,1
46,1,,1
47,1,,1
48,1,,1
49,1,,1
1070,1,,1
1080,1,,1
1090,1,,1
1160,1,,1
1200,0,,1
20116,0,,1
20160,0,,1
1239,0,,1
1249,0,,1
1259,0,,1
1269,1,,1
1279,1,,1
20117,0,,1
1558,0,,1
1618,0,,1
1757,0,,1
1980,0,,1
1990,0,,1
2178,0,,1
2247,0,,1
2296,0,,1
3393,0,,1
22605,1,,1
864,1,,1
874,1,,1
884,1,,1
894,1,,1
904,1,,1
914,1,,1
924,0,,1
943,0,,1
971,0,,1
981,0,,1
4717,0,,1
1289,1,,1
1349,0,,1
1369,0,,1
1379,0,,1
1389,0,,1
1528,1,,1
30710,1,,1
30890,1,,1
30830,1,,1
23099,1,,1
23100,1,,1
23101,1,,1
23102,1,,1
23106,1,,1
25005,1,,1
25012,1,,1
25015,1,,1
25025,1,,1
25030,1,,1
25048,1,,1
25056,1,,1
25069,1,,1
25071,1,,1
25140,1,,1
25191,1,,1
25200,1,,1
25217,1,,1
25252,1,,1
25282,1,,1
25287,1,,1
25324,1,,1
25347,1,,1
25433,1,,1
25445,1,,1
25544,1,,1
25553,1,,1
25572,1,,1
25575,1,,1
25648,1,,1
25661,1,,1
25863,1,,1
25879,1,,1
25883,1,,1
25890,1,,1
25899,1,,1
25904,1,,1
20240,1,,1
20131,1,,1
