Field-ID,continous,corresponding-column,use-2-Label
31,0,,1
12144,1,,1
20015,1,,1
21002,1,,1
21001,1,,1
2306,0,,1
46,1,,1
47,1,,1
48,1,,1
49,1,,1
1070,1,,1
1080,1,,1
1090,1,,1
1160,1,,1
1200,0,,1
20116,0,,1
20160,0,,1
1239,0,,1
1249,0,,1
1259,0,,1
1269,1,,1
1279,1,,1
20117,0,,1
1558,0,,1
1618,0,,1
1757,0,,1
1980,0,,1
1990,0,,1
2178,0,,1
2247,0,,1
2296,0,,1
3393,0,,1
22605,1,,1
864,1,,1
874,1,,1
884,1,,1
894,1,,1
904,1,,1
914,1,,1
924,0,,1
943,0,,1
971,0,,1
981,0,,1
4717,0,,1
1289,1,,1
1349,0,,1
1369,0,,1
1379,0,,1
1389,0,,1
1528,1,,1
30710,1,,1
30890,1,,1
30830,1,,1
23099,1,,1
23100,1,,1
23101,1,,1
23102,1,,1
23106,1,,1
93,1,,1
94,1,,1
95,1,,1
102,1,,1
4079,1,,1
4080,1,,1
22403,1,,1
22405,1,,1
22407,1,,1
22408,1,,1
22409,1,,1
22410,1,,1
23100,1,,1
23101,1,,1
23102,1,,1
30500,1,,1
30510,1,,1
30520,1,,1
30530,1,,1
30670,1,,1
30700,1,,1
30720,1,,1
